你好 | nihao | Здравствуйте
朋友 | pengyou | Друг
电脑 | diannao | Компьютер
爱情 | anqing | Любовь
安排 | anpai | Распределять, расставлять
安全 | anquan | Безопасный
按时 | anshi | Вовремя, своевременно
按照 | anzhao | Согласно, в соответствии с
百分之 | baifenzhi | Процент
棒 | bang | Крутой, великолепный
包子 | baozi | Булочки на пару
保护 | baohu | Защищать, охранять
保证 | baozheng | Гарантировать
报名 | baoming | Регистрироваться, записаться
抱 | bao | Обнять
抱歉 | baoqian | Сожалеть
倍 | bei | Кратность (счетное слово)
本来 | benlai | Изначально, первоначально
笨 | ben | Глупый, тупой
比如 | biru | Например
毕业| biye | Окончить (школу, вуз)
遍 | bian | Раз (сч.слово)
标准 | biaozhun | Стандарт, норма
表格 | biaoge | Бланк, форма
表示 | biaoshi | Выражать, означать
表演 | biaoyan | Выступать, исполнять
表扬 | biaoyang | Хвалить, поощерять
饼干 | binggan | Печенье
并且 | bingqie | К тому же, вместе с тем (союз)
博士 | boshi | Доктор наук
不过 | buguo | Но, однако, всего лишь, только
不得不 | budebu | Быть вынужденным
不管 | buguan | Несмотря на (то, что)
不仅 | bujin | Не только ..., но и ...
部分 | bufen | Часть, доля
擦 | ca | Тереть, вытирать
猜 | cai | Догадаться, отгадать
材料 | cailiao | Материал
参观 | canguan | Посещать, осматривать
餐厅 | canting | Столовая, ресторан
厕所 | cesuo | Туалет
差不多 | chabuduo | Почти
长城 | changcheng | Великая китайская стена
长江| changjiang | река Янцзы
场 | chang | сч. слово для спортивных игр, зрелищ
超过 | chaoguo | Превысить, обогнать
成功 | chenggong | Преуспеть, успешный
成为 | chengwei | Становиться
诚实 | chengshi | Честный, правдивый
乘坐 | chengzuo | Ехать, сидеть верхом
吃惊 | chijing | Изумиться, испугаться
重新 | chongxin | Заново
抽烟 | chouyan | Курить
出差 | chuchai | Поехать в командировку
出发 | chufa | Отправляться
出城 | chucheng | Родиться
出现 | chuxian | Появиться, возникнуть
厨房 | chufang | Кухня
传真 | chuanzhen | Факс
窗户 | chuanghu | Окно
词意 | ciyu | Слово
从来 | conglai | Издавна
粗心 | cuxin | Невнимательный, небрежный
存 | cun | Хранить, сберегать
错误 | cuowu | Ошибка, ошибочный, неправильный
答案 | da'an | Ответ, решение
大版 | daban | Наряжаться, наносить макияж
打扰 | darao | Беспокоить, тревожить
打印 | dayin | Печатать
打招呼 | da zhaohu | Здороваться
打折 | dazhe | Сделать скидку
打针 | dazhen | Сделать укол
大概 | dagai | Вероятно, примерно, приблизительно
大使馆 | dashiguan | Посольство
大约 | dayue | Около, приблизительно
大夫 | daifu | Доктор, врач
戴 | dai | Носить, надевать
当 | dang | Быть (о профессии)/в тот миг
当时 | dangshi | В то время, тогда
刀 | dao | Нож
导游 | daoyou | Гид, экскурсовод
到处 | daochu | Везде, повсюду
到底 | daodi | В конце концов
倒 | dao | Разливать, наливать
道歉 | daoqian | Извиняться
得意 | deyi | Самодовольный, удачный
得 | dei | Должно, следует
登机牌 | dengjipai | Посадочный талон
等 | deng | И т.д.
低 | di | Низкий
底 | di | Дно, низ, конец
地点 | didian | Пункт, точка, место
地球 | diqiu | Земля
地址 | dizhi | Адрес
调查 | diaocha | Исследовать, обследовать
掉 | diao | Падать, ронять, терять
丢 | diu | Потерять, бросить
动作 | dongzuo | Действие, движение
堵车 | duche | Стоять в пробке
